TransactionAmount,Frequency,LocationScore,Fraud
2762.06,29.0,4.3,Yes
,29.0,4.1,No
4813.71,45.0,7.4,No
4921.7,15.0,9.6,Yes
2787.39,45.0,5.6,No
3285.75,45.0,5.4,No
4945.68,34.0,2.5,No
2500.71,43.0,6.9,No
535.07,31.0,9.9,Yes
968.63,10.0,4.3,Yes
1725.44,21.0,6.5,Yes
,18.0,7.4,Yes
4343.59,12.0,4.3,No
4863.58,31.0,,Yes
196.05,21.0,9.6,No
2066.91,33.0,7.9,No
,42.0,7.7,No
2831.84,13.0,9.5,No
4782.95,27.0,5.5,No
522.0,,4.9,Yes
1575.02,37.0,0.5,No
3650.0,33.0,0.4,Yes
1793.99,15.0,3.9,Yes
3668.2,10.0,9.0,Yes
4095.06,31.0,1.3,No
3552.05,14.0,8.5,Yes
4210.35,2.0,0.5,No
2548.07,48.0,5.0,No
4829.13,46.0,7.4,Yes
4271.56,,,No
3750.45,35.0,4.3,No
3926.46,26.0,,No
2688.69,32.0,5.1,Yes
2214.04,27.0,,No
346.05,27.0,9.7,Yes
3739.94,33.0,0.6,No
4518.48,46.0,6.1,Yes
3503.04,36.0,0.9,No
2057.95,29.0,7.8,No
2851.58,6.0,,Yes
144.77,30.0,9.1,No
3103.81,16.0,3.2,No
1938.81,2.0,7.4,No
2176.06,4.0,3.8,No
4166.42,39.0,0.4,No
4944.0,15.0,9.0,Yes
4093.16,27.0,5.6,No
2518.65,14.0,5.4,Yes
533.85,26.0,8.4,No
2043.17,18.0,1.4,Yes
1515.68,31.0,3.8,No
4138.39,5.0,8.5,No
1619.27,13.0,8.8,Yes
3238.81,35.0,2.1,Yes
370.89,29.0,1.3,No
515.37,5.0,0.9,Yes
2542.03,46.0,7.6,Yes
4699.92,32.0,9.2,Yes
3644.3,14.0,7.8,Yes
1460.3,17.0,8.7,No
3017.2,27.0,9.2,Yes
1505.48,18.0,9.3,No
2175.32,19.0,0.9,Yes
2328.63,38.0,5.9,Yes
4909.9,19.0,7.1,Yes
3687.5,28.0,5.2,No
3387.08,43.0,2.3,No
4187.19,30.0,3.6,No
3634.45,18.0,2.5,Yes
2565.46,37.0,5.6,No
2610.38,15.0,2.1,No
1538.04,17.0,5.4,Yes
1435.21,8.0,4.3,Yes
4320.6,45.0,2.6,Yes
867.6,45.0,2.3,Yes
4590.69,25.0,2.0,No
2631.33,43.0,9.8,Yes
2536.02,13.0,3.5,Yes
624.94,4.0,8.5,Yes
3187.82,12.0,0.2,Yes
3495.13,18.0,7.5,No
1066.6,14.0,0.4,Yes
2995.4,22.0,0.2,No
2256.51,,1.3,No
3917.75,45.0,2.7,Yes
805.2,21.0,3.0,No
3878.62,23.0,9.6,Yes
2056.21,27.0,9.0,No
2976.34,44.0,2.6,Yes
4967.21,11.0,,Yes
4637.77,24.0,3.6,Yes
1436.49,30.0,2.5,Yes
2740.55,26.0,1.4,No
3346.09,43.0,4.6,Yes
3130.6,15.0,1.0,Yes
1157.45,1.0,,Yes
4503.99,8.0,8.1,Yes
4698.21,37.0,5.1,No
2345.57,43.0,3.8,No
4959.23,42.0,4.2,Yes
3906.23,25.0,10.0,No
1106.54,19.0,9.2,Yes
1134.28,46.0,7.6,Yes
2272.01,31.0,4.4,No
953.51,47.0,6.6,Yes
,45.0,8.1,No
977.49,18.0,5.6,Yes
4396.0,14.0,0.3,No
2898.18,16.0,9.0,No
2876.97,,0.8,Yes
1135.76,36.0,1.8,Yes
4275.42,,4.7,No
1447.63,32.0,8.4,No
3513.77,46.0,4.6,No
2515.78,36.0,,Yes
3875.64,26.0,9.0,No
303.28,24.0,0.2,No
1890.38,44.0,9.6,Yes
2561.29,9.0,9.6,Yes
1353.57,46.0,7.1,No
3386.54,11.0,4.1,No
2816.66,21.0,1.9,No
3584.86,6.0,9.4,Yes
4920.81,38.0,6.8,Yes
2663.82,,5.5,No
498.79,35.0,8.9,Yes
4296.26,41.0,0.8,Yes
1000.45,36.0,3.9,No
1533.38,22.0,2.1,Yes
4728.25,25.0,9.0,No
2267.98,11.0,7.2,No
1355.65,9.0,7.6,Yes
759.33,10.0,7.2,No
4303.39,9.0,6.4,Yes
4356.7,39.0,1.6,Yes
490.28,14.0,1.5,No
3483.56,21.0,9.8,No
1049.65,9.0,4.2,Yes
3740.2,41.0,7.8,Yes
4101.55,26.0,6.5,No
3873.34,14.0,1.0,No
3740.05,46.0,1.1,No
3243.79,31.0,0.6,No
4598.1,32.0,8.5,No
3600.53,27.0,0.1,Yes
3142.44,13.0,0.2,No
684.48,11.0,2.6,Yes
4734.45,14.0,3.4,Yes
4786.58,6.0,3.6,No
3166.32,23.0,7.7,Yes
